subjectId,feedback_type,timing,pitch_rmse,mean_subj_pitch,std_subj_pitch,pitch_bias_hz,pitch_inaccuracy_std,percent_notes_correct,dynamics_rmse,dynamics_bias,dynamics_inaccuracy_std,tempo_rmse,tempo_bias,tempo_inaccuracy_std
w4m19emj,none,before,116.99323,158.856,31.052767,-110.76756,37.65585,0.0,0.09781986,0.056152884,0.0800973,10.625780147721768,5.751138263647157,8.934853799594686
w4m19emj,none,after,118.401886,160.76048,39.543888,-109.57509,44.858738,0.0,0.12175554,0.06412428,0.10350115,,,
w4m19emj,feedback,before,110.72871,195.47021,98.203964,-63.24056,90.89267,7.309322033898305,0.053629287,0.026184127,0.046802692,,,
w4m19emj,feedback,after,91.06628,186.09337,61.489048,-72.08123,55.653957,7.658157602663707,0.07109019,0.03892751,0.059484996,,,
y6v3g63s,none,before,116.14557,164.18661,24.034203,-111.38311,32.91801,0.0,0.044344693,0.019218773,0.039963618,1.3258786906752253,0.40592465232686087,1.2622121370910544
y6v3g63s,none,after,119.91776,158.14005,25.029305,-114.24825,36.436344,0.0,0.059706032,0.02215389,0.055443805,,,
y6v3g63s,feedback,before,39.19812,314.5318,72.35594,-12.124268,37.275932,35.97222222222222,0.030573986,0.013551703,0.027406566,,,
y6v3g63s,feedback,after,146.42392,166.55234,29.01205,-124.37761,77.266914,0.0,0.03460838,0.015613864,0.03088604,,,
b068bafw,none,before,112.75556,162.96088,20.624191,-109.10342,28.465073,0.0,0.0706164,0.041109156,0.057417016,,,
b068bafw,none,after,112.52852,162.65184,20.524786,-109.04522,27.781446,0.0,0.056711964,0.03337677,0.045850176,11.083290882647702,8.076305352580684,7.5902983236008765
b068bafw,feedback,before,95.89145,172.67961,34.586002,-89.88934,33.39275,0.23148148148148145,0.100448936,0.06943404,0.07258722,50.43825806213534,-42.32617907185227,27.431960220152988
b068bafw,feedback,after,139.17421,169.5033,31.199999,-116.76703,75.72929,0.0,0.08376751,0.061537474,0.056834273,6.298053489546585,-0.11922142275097676,6.296924964579708
b6gp1jzw,none,before,54.79495,227.42392,28.414106,-46.40112,29.144854,4.4491525423728815,0.06667249,0.036368866,0.055879563,3.883445018783936,1.479051946364032,3.5907590498214352
b6gp1jzw,none,after,66.75682,211.79173,27.39714,-55.662125,36.853783,8.25515947467167,0.066453926,0.033839166,0.05719296,7.256837908190964,3.333809620241444,6.445728030389043
b6gp1jzw,feedback,before,72.43973,230.24492,37.814404,-56.741093,45.0329,20.29459901800327,0.11284277,0.08444287,0.07485246,17.45101389838358,-2.998058535154379,17.191554063009104
b6gp1jzw,feedback,after,69.30799,226.44899,38.55478,-55.26092,41.830948,18.902439024390244,0.102052905,0.076279856,0.06779513,64.28055380516557,-57.75410015725411,28.221507977509756
3tzisfce,none,before,132.22667,146.29356,71.56529,-112.04478,70.21297,3.094059405940594,0.078628734,0.036305495,0.069745176,14.27171111865267,-11.310536149581106,8.703649249785586
3tzisfce,none,after,112.40777,164.08652,24.79052,-107.48874,32.888847,0.0,0.09933054,0.041680694,0.0901625,8.780452525396301,-7.056136699245336,5.225636940345303
3tzisfce,feedback,before,1173.9099,1565.9236,3.6878498,1172.4215,59.096695,0.0,0.066298984,0.026548425,0.06075143,21.49364025751461,-11.888463221218807,17.9064517355388
3tzisfce,feedback,after,137.74007,170.82213,31.72539,-115.69744,74.74241,0.0,0.075150706,0.034634758,0.0666938,18.096420673059086,8.313054201359673,16.074002955753627
etuygx3k,none,before,20.288258,314.3353,34.823708,10.061636,17.617517,56.08974358974359,0.070425436,0.0364396,0.06026523,3.260160953750867,-1.1979752157290156,3.032079290991709
etuygx3k,none,after,23.744081,314.4647,37.02788,10.446569,21.322538,57.833333333333336,0.060081795,0.02759878,0.053367868,7.407083707215896,-2.8689567998044367,6.8289073742846345
etuygx3k,feedback,before,36.65971,335.30954,66.01711,-5.4468646,36.252808,65.68265682656826,0.06763438,0.032479145,0.0593255,9.297176934978776,-4.641026538430071,8.055952558815695
etuygx3k,feedback,after,23.567133,340.37878,58.7672,-2.4825165,23.436016,61.54929577464788,0.074900664,0.046540394,0.058686465,,,
chxrj0wq,none,before,124.86959,154.46542,30.050013,-119.82276,35.141422,0.0,0.060900353,0.03116117,0.05232432,,,
chxrj0wq,none,after,169.92598,145.56119,16.81297,-157.14835,64.64705,0.0,0.06250939,0.030045964,0.05481481,8.157132812381253,4.6683395348137715,6.689201873655902
chxrj0wq,feedback,before,98.067955,179.41856,55.394493,-86.87239,45.502857,0.0,0.053382337,0.027848246,0.045542825,6.156859347766122,1.3437020648968174,6.008442542703318
chxrj0wq,feedback,after,93.379265,172.33394,49.176735,-76.97999,52.856106,0.0,0.04757116,0.023331974,0.041456416,63.864471789884846,-53.70794430743458,34.556149601344515
j5vztu58,none,before,120.83166,162.22694,34.585663,-113.49125,41.473198,0.0,0.06953291,0.036037676,0.059465207,6.387895119834785,2.0235553657811782,6.058913082692907
j5vztu58,none,after,117.7756,159.4455,24.056698,-113.65446,30.882933,0.0,0.07115056,0.033279844,0.06288763,28.97735471903503,21.201648085814334,19.752903709532603
j5vztu58,feedback,before,117.15034,174.02539,63.447437,-22.32593,115.00329,1.7721518987341773,0.063759685,0.032850675,0.054645494,,,
j5vztu58,feedback,after,100.87863,171.39752,28.912006,-94.59961,35.034447,1.5047879616963065,0.010924814,0.0030894727,0.01047887,26.035584601003116,-11.716138152701882,23.250457464376783
jmm1i9nq,none,before,32.98153,318.15228,51.394302,6.966046,32.237484,62.93604651162791,0.0241051,0.011227967,0.02133046,3.1270984671065727,-0.013245389532145754,3.127070415362663
jmm1i9nq,none,after,62.270744,335.16602,65.43722,19.100307,59.269077,58.81481481481482,0.031210463,0.018978642,0.024777088,2.371969817116541,0.9943174924709046,2.1535026207270445
jmm1i9nq,feedback,before,20.051397,341.27423,61.147423,1.5411775,19.99208,71.19784656796769,0.02990697,0.016888227,0.024682272,5.073041581504203,-1.9929401040029275,4.665183879497941
jmm1i9nq,feedback,after,21.122274,337.3913,62.419605,-0.7594638,21.108616,71.37305699481865,0.024241729,0.013464768,0.020158408,6.633347332613571,-2.4560877517490503,6.1618933608753625
3d1ly0bg,none,before,133.5337,176.39667,89.25101,-95.90447,92.91708,0.0,0.09860384,0.04852714,0.08583609,11.868864457109838,8.622769742188781,8.155843639651193
3d1ly0bg,none,after,114.54057,161.12712,22.21775,-110.87418,28.748222,0.8143322475570033,0.0063980324,-0.0049632173,0.0040374855,3.7071093785643217,-1.327799958381428,3.461156918598437
3d1ly0bg,feedback,before,143.08461,173.90993,29.901896,-120.26913,77.514786,0.0,0.069799505,0.032472655,0.0617859,6.346797643894547,2.713376543738217,5.73754547384477
3d1ly0bg,feedback,after,145.1375,174.54305,32.66366,-121.3969,79.54674,0.0,0.056002047,0.028206034,0.048380256,10.694545595644682,-4.185996314570838,9.841277373985678
ndrqs3sg,none,before,26.474737,321.38834,37.316456,6.474503,25.67085,58.306188925081436,0.06348912,0.032360196,0.05462312,,,
ndrqs3sg,none,after,25.316696,322.03952,34.975777,16.007793,19.613405,48.031496062992126,0.08805345,0.04180817,0.07749507,5.014375056670485,-0.3422902293137116,5.002678743221025
ndrqs3sg,feedback,before,51.44563,337.198,85.175766,-0.09996432,51.445534,54.738154613466335,0.101035126,0.05911923,0.081932984,11.185005820182425,-5.512601553401498,9.732192934326266
ndrqs3sg,feedback,after,90.475334,343.93063,124.966515,19.849613,88.27106,23.98989898989899,0.07100828,0.041880317,0.057342954,,,
n7oh8onc,none,before,115.09343,159.9212,20.029688,-111.65405,27.926165,0.0,0.07870532,0.036307756,0.06983032,4.001443647552032,1.0275250257547677,3.8672656471959836
n7oh8onc,none,after,113.88049,160.76869,18.622252,-110.74674,26.531612,0.0,0.09102417,0.041683994,0.08091875,4.067408416288621,-0.22849737862243472,4.060985123447042
n7oh8onc,feedback,before,141.6471,169.09978,31.154358,-119.31687,76.33729,0.0,0.0676051,0.0452264,0.050249595,,,
n7oh8onc,feedback,after,123.91644,167.08182,42.16865,-87.44004,87.803894,0.0,0.055920873,0.031808697,0.04599294,1.6561357384214015,0.5468809344360153,1.5632360114925037
oplv7i5e,none,before,150.75035,186.92151,120.711,-84.37498,124.92609,2.886002886002886,0.098811194,0.052614406,0.08363836,6.185625121184502,-1.8637305545405998,5.898174849892174
