subjectId,feedback_type,pitch_rmse_improvement,dynamics_rmse_improvement,tempo_rmse_improvement,pitch_correctness_improvement
w4m19emj,none,-1.4086533,-0.023935683,,0.0
w4m19emj,feedback,19.66243,-0.017460905,,0.3488355687654012
y6v3g63s,none,-3.772194,-0.015361339,,0.0
y6v3g63s,feedback,-107.2258,-0.0040343925,,-35.97222222222222
b068bafw,none,0.22704315,0.013904437,,0.0
b068bafw,feedback,-43.28276,0.016681425,44.14020457258876,-0.23148148148148145
b6gp1jzw,none,-11.961872,0.00021856278,-3.373392889407028,3.8060069322987884
b6gp1jzw,feedback,3.1317368,0.010789864,-46.82953990678199,-1.3921599936130278
3tzisfce,none,19.818901,-0.020701803,5.491258593256369,-3.094059405940594
3tzisfce,feedback,1036.1698,-0.008851722,3.3972195844555237,0.0
etuygx3k,none,-3.455824,0.010343641,-4.146922753465029,1.7435897435897445
etuygx3k,feedback,13.092577,-0.007266283,,-4.133361051920382
chxrj0wq,none,-45.05639,-0.0016090348,,0.0
chxrj0wq,feedback,4.68869,0.005811177,-57.70761244211872,0.0
j5vztu58,none,3.0560608,-0.0016176552,-22.589459599200246,0.0
j5vztu58,feedback,16.271706,0.05283487,,-0.26736393703787087
jmm1i9nq,none,-29.289215,-0.0071053635,0.7551286499900316,-4.121231696813091
jmm1i9nq,feedback,-1.0708771,0.005665241,-1.560305751109368,0.17521042685096688
3d1ly0bg,none,18.993134,0.09220581,8.161755078545516,0.8143322475570033
3d1ly0bg,feedback,-2.052887,0.013797458,-4.347747951750135,0.0
ndrqs3sg,none,1.158041,-0.024564333,,-10.27469286208931
ndrqs3sg,feedback,-39.029705,0.030026846,,-30.748255623567346
n7oh8onc,none,1.2129364,-0.01231885,-0.06596476873658919,0.0
n7oh8onc,feedback,17.730652,0.011684228,,0.0
oplv7i5e,none,39.832085,-0.02727592,2.7706613310818815,1.2075643654591022
oplv7i5e,feedback,-69.75546,0.014810659,,4.25531914893617
xzdbn2c2,none,1.6851807,-0.035417244,-6.968391706627875,0.0
xzdbn2c2,feedback,40.87169,-0.035206042,14.39567137432159,0.8253094910591471
